660.579,645.286,691.059,691.905
659.786,640.177,636.833,635.714
735.412,729.143,726.929,729.952
614.5,699.75,660.133,733.6
569.452,647.556,542.167,572.677
577,546.588,580,595.118
518.857,511.393,539.769,527.565
444.968,447.65,451.161,433
546.903,536.3,534.333,585.739
432.097,429.433,438.333,436.879
532.778,538.44,529.75,536.056
496.222,516.4,491.514,517.1
630.833,666.375,635.643,637.8
588.125,664.846,564.64,574.167
675.519,691.913,703.577,713.5
498.857,527.667,490.444,530.059
498.615,523.714,504.067,555.529
531.25,561,564.036,581.522
633.059,654.933,667.444,680.826
