f0,slope,SE,ci95low,ci95high,t,Pr(>|t|),sign.
(Intercept),0.5622119818,0.01897,0.5252198401,0.6002284087,29.641,0.0,***
cuevalid,0.0755985774,0.02123,0.0315781829,0.1154945948,3.561,0.000374685,***
