f0,slope,SE,ci95low,ci95high,t,Pr(>|t|),sign.
(Intercept),0.5496962535,0.134181,0.3327497089,0.7588900715,4.097,4.29451e-05,***
attLumwhite,-0.005045036,0.021756,-0.0472760646,0.038951494,-0.232,0.816634028,
