""
" *** Autosummary 2009-08-05 14:39:25"
""
""
"Participant","N-Error"
"s01.txt","27"
"s02.txt","13"
"s03.txt","23"
"s04.txt","19"
"s05.txt","4"
"s06.txt","16"
"s07.txt","30"
"s08.txt","24"
"s09.txt","17"
"s10.txt","25"
"s11.txt","28"
"S12.txt","13"
"S13.txt","24"
"S14.txt","4"
"s15.txt","14"
"s16.txt","20"
"s17.txt","51"
"s18.txt","15"
"s19.txt","12"
"s20.txt","14"
"s21.txt","15"
"s22.txt","40"
"s23.txt","20"
"s24.txt","22"
"s25.txt","11"
"s26.txt","19"
"s27.txt","8"
"s28.txt","19"
"s29.txt","28"
"s30.txt","34"
"s31.txt","10"
"s32.txt","30"
"s33.txt","20"
"s34.txt","22"
"Participant","N-TooSlow (> 2000 ms)"
"s07.txt","1"
"S13.txt","2"
"S14.txt","1"
"s17.txt","1"
"s20.txt","2"
"s21.txt","3"
"s31.txt","3"
"Participant","N-Error (Normal RT)"
"s01.txt","27"
"s02.txt","13"
"s03.txt","23"
"s04.txt","19"
"s05.txt","4"
"s06.txt","16"
"s07.txt","30"
"s08.txt","24"
"s09.txt","17"
"s10.txt","25"
"s11.txt","28"
"S12.txt","13"
"S13.txt","23"
"S14.txt","4"
"s15.txt","14"
"s16.txt","20"
"s17.txt","51"
"s18.txt","15"
"s19.txt","12"
"s20.txt","14"
"s21.txt","15"
"s22.txt","40"
"s23.txt","20"
"s24.txt","22"
"s25.txt","11"
"s26.txt","19"
"s27.txt","8"
"s28.txt","19"
"s29.txt","28"
"s30.txt","34"
"s31.txt","9"
"s32.txt","30"
"s33.txt","20"
"s34.txt","22"
""
""
"*** Average RT's"
""
"Participant","N","RT"
"s01.txt","453","805.6137"
"s02.txt","467","521.9122"
"s03.txt","457","606.4770"
"s04.txt","461","728.7267"
"s05.txt","476","650.9244"
"s06.txt","464","665.3297"
"s07.txt","450","678.1356"
"s08.txt","456","681.3904"
"s09.txt","463","559.6587"
"s10.txt","455","782.7165"
"s11.txt","452","674.6460"
"S12.txt","467","628.6617"
"S13.txt","456","653.3596"
"S14.txt","476","775.7437"
"s15.txt","466","589.7103"
"s16.txt","460","652.8283"
"s17.txt","429","656.6457"
"s18.txt","465","617.5097"
"s19.txt","468","697.8376"
"s20.txt","466","771.0622"
"s21.txt","465","738.8495"
"s22.txt","440","637.0864"
"s23.txt","460","731.0239"
"s24.txt","458","713.6943"
"s25.txt","469","660.5181"
"s26.txt","461","604.1302"
"s27.txt","472","734.8242"
"s28.txt","461","621.3189"
"s29.txt","452","815.9093"
