f0,slope,SE,ci95low,ci95high,t,Pr(>|t|),sign.
(Intercept),0.027798889,0.008522,0.0098337044,0.0453379194,3.262,0.0011335643,**
attLumwhite,-0.0131183069,0.007982,-0.0285310573,0.0030477835,-1.644,0.1004994527,
