-,-,[cue],[cue],[MEAN],[95ci]
-,-,[invalid],[valid],-,-
[subject_nr],[0.0],455.103156009,321.817353874,388.460254942,94.2472945255
[subject_nr],[1.0],628.010518746,588.523495823,608.267007285,27.9215416776
[subject_nr],[2.0],466.031395468,444.495737838,455.263566653,15.2280095472
[subject_nr],[3.0],894.942669368,563.427403854,729.185036611,234.416692312
[subject_nr],[4.0],718.973293064,436.638732804,577.806012934,199.640682123
[subject_nr],[5.0],1019.23041409,808.022548039,913.626481066,149.346514326
[subject_nr],[7.0],502.705942529,353.874084194,428.290013361,105.240016285
[subject_nr],[8.0],987.763577497,633.506947934,810.635262716,250.497265045
[subject_nr],[9.0],646.391841163,600.62628014,623.509060651,32.3611385441
[subject_nr],[10.0],624.947846953,517.833422726,571.39063484,75.7413357336
[subject_nr],[11.0],719.359382793,738.88585932,729.122621056,13.8073039644
[subject_nr],[12.0],513.821088878,471.901424593,492.861256735,29.6416788811
[subject_nr],[13.0],677.196861911,421.089089697,549.142975804,181.095542447
[subject_nr],[14.0],596.580987723,534.89277943,565.736883576,43.6201504031
[subject_nr],[15.0],1049.20590645,1033.43089889,1041.31840267,11.1546148181
[MEAN],-,700.017658843,564.597737277,632.30769806,-
[95ci],-,101.08791424,93.9455682971,-,201.597367659
