f0,slope,SE,ci95low,ci95high,t,Pr(>|t|),sign.
(Intercept),0.7895039096,0.04026,0.7114529743,0.8742152806,19.61,0.0,***
cuevalid,0.0740196302,0.02051,0.0318621341,0.1121854562,3.608,0.0003195027,***
