f0,slope,SE,ci95low,ci95high,t,Pr(>|t|),sign.
(Intercept),695.5109935,47.23,624.7909893,761.7561601,14.73,0.0,***
cuevalid,-135.7500046,11.15,-158.0278292,-114.0499034,-12.18,0.0,***
